"ISSN";"Titulo";"Area";"Estrato"
"1447-9338";"INNOVATION: MANAGEMENT, POLICY & PRACTICE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1614-5046";"INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1466-8564";"INNOVATIVE FOOD SCIENCE & EMERGING TECHNOLOGIES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2364-4184";"INNOVATIVE INFRASTRUCTURE SOLUTIONS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0020-1669";"INORGANIC CHEMISTRY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1387-7003";"INORGANIC CHEMISTRY COMMUNICATIONS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2052-1553";"INORGANIC CHEMISTRY FRONTIERS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0020-1693";"INORGANICA CHIMICA ACTA (TESTO STAMPATO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2304-6740";"INORGANICS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2317-2460";"INOVA SAÚDE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2525-3476";"INOVAÇÃO E FORMAÇÃO, REVISTA DO NÚCLEO DE EDUCAÇÃO A DISTÂNCIA DA UNIVERSIDADE ESTADUAL B2";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2357-7797";"INOVAE - JOURNAL OF ENGINEERING AND TECHNOLOGY INNOVATION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2177-4838";"INQUIETUDE: REVISTA DOS ESTUDIANTES DE FILOSOFIA DA UFG";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"0046-9580";"INQUIRY (CHICAGO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0965-1748";"INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1752-458X";"INSECT CONSERVATION AND DIVERSITY (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1365-2583";"INSECT MOLECULAR BIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0962-1075";"INSECT MOLECULAR BIOLOGY (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1744-7917";"INSECT SCIENCE (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1672-9609";"INSECT SCIENCE (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1399-560X";"INSECT SYSTEMATICS & EVOLUTION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0749-6737";"INSECTA MUNDI";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0020-1812";"INSECTES SOCIAUX (PRINTED ED.)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2075-4450";"INSECTS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1354-2575";"INSIGHT (NORTHAMPTON)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1517-6940";"INSIGHT INTELIGÊNCIA (RIO DE JANEIRO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1302-177X";"INSIGHT TURKEY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2446-9696";"INSITU";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2447-6811";"INSTITUTO DE ENGENHARIA NUCLEAR: PROGRESS REPORT";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1073-9149";"INSTRUMENTATION SCIENCE & TECHNOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1516-6368";"INSTRUMENTO (JUIZ DE FORA)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1852-3862";"INSUFICIENCIA CARDIACA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1850-1044";"INSUFICIENCIA CARDÍACA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0020-4536";"INSULA (MADRID)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"0167-6687";"INSURANCE. MATHEMATICS & ECONOMICS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1735-1472";"INT J ENVIRON SCI TE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1697-9818";"INTANGIBLE CAPITAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1553-1732";"INTEGERS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2007-5588";"INTEGRACIÓN ACADÉMICA EN PSICOLOGÍA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2347-0658";"INTEGRACIÓN Y CONOCIMIENTO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0378-620X";"INTEGRAL EQUATIONS AND OPERATOR THEORY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1065-2469";"INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1178-7104";"INTEGRATED BLOOD PRESSURE CONTROL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1069-2509";"INTEGRATED COMPUTER-AIDED ENGINEERING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1551-3777";"INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0167-9260";"INTEGRATION (AMSTERDAM. PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1540-7063";"INTEGRATIVE AND COMPARATIVE BIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1757-9708";"INTEGRATIVE BIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1757-9694";"INTEGRATIVE BIOLOGY: A NEW JOURNAL OF QUANTITATIVE BIOSCIENCES FROM NANO TO MACRO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1534-7354";"INTEGRATIVE CANCER THERAPIES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2213-4220";"INTEGRATIVE MEDICINE RESEARCH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1932-4502";"INTEGRATIVE PSYCHOLOGICAL & BEHAVIORAL SCIENCE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1749-4869";"INTEGRATIVE ZOOLOGY (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1137-3601";"INTELIGENCIA ARTIFICIAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1807-1260";"INTELLECTOR (CENEGRI. ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1676-7640";"INTELLÈCTUS (UERJ. ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1679-8902";"INTELLECTUS REVISTA ACADÊMICA DIGITAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0160-2896";"INTELLIGENCE (NORWOOD)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1088-467X";"INTELLIGENT DATA ANALYSIS (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2199-854X";"INTELLIGENT INDUSTRIAL SYSTEMS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2447-9020";"INTELLIGERE - REVISTA DE HISTÓRIA INTELECTUAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1471-5031";"INTENSITIES: THE JOURNAL OF CULT MEDIA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0964-3397";"INTENSIVE & CRITICAL CARE NURSING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0342-4642";"INTENSIVE CARE MEDICINE (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2197-425X";"INTENSIVE CARE MEDICINE EXPERIMENTAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2357-7975";"INTERAÇÃO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1516-1854";"INTERAÇÃO (CURITIBA)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1981-8416";"INTER-AÇÃO (UFG. ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1517-848X";"INTERAÇÃO (VARGINHA)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1981-8076";"INTERAÇÃO EM PSICOLOGIA (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1646-2335";"INTERACCOES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0873-0725";"INTERACÇÕES (COIMBRA)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1983-2478";"INTERAÇÕES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1518-7012";"INTERAÇÕES (CAMPO GRANDE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1984-042X";"INTERAÇÕES (CAMPO GRANDE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0953-5438";"INTERACTING WITH COMPUTERS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1826-9745";"INTERACTION DESIGN AND ARCHITECTURE(S) JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1757-2681";"INTERACTIONS (IMPRESSO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1072-5520";"INTERACTIONS (NEW YORK, N.Y.)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1569-9293";"INTERACTIVE CARDIOVASCULAR AND THORACIC SURGERY (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1049-4820";"INTERACTIVE LEARNING ENVIRONMENTS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1741-5659";"INTERACTIVE TECHNOLOGY AND SMART EDUCATION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1519-8847";"INTERAGIR (UERJ)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0034-9690";"INTERAMERICAN JOURNAL OF PSYCHOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1806-275X";"INTERCÂMBIO (CD-ROM)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0020-5214";"INTERCERAM";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0826-4805";"INTERCHANGE (TORONTO. 1984)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0378-1844";"INTERCIENCIA (CARACAS)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0102-6453";"INTERCOM: REVISTA BRASILEIRA DE CIENCIAS DA COMUNICACAO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1467-5986";"INTERCULTURAL EDUCATION (LONDON. PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1612-295X";"INTERCULTURAL PRAGMATICS (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2448-5705";"INTERDISCIPLINA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1980-8879";"INTERDISCIPLINAR: REVISTA DE ESTUDOS EM LÍNGUA E LITERATURA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1340-9050";"INTERDISCIPLINARY INFORMATION SCIENCES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2165-2694";"INTERDISCIPLINARY JOURNAL OF PORTUGUESE DIASPORA STUDIES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2214-7519";"INTERDISCIPLINARY NEUROSURGERY¿";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1687-7098";"INTERDISCIPLINARY PERSPECTIVES ON INFECTIOUS DISEASES (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1337-9569";"INTERDISCIPLINARY TOXICOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2446-6549";"INTERESPAÇO: REVISTA DE GEOGRAFIA E INTERDISCIPLINARIDADE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2179-7498";"INTERESPE. INTERDISCIPLINARIDADE E ESPIRITUALIDADE NA EDUCAÇÃO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1982-8497";"INTERESSE NACIONAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2318-9401";"INTERETHNIC@ - REVISTA DE ESTUDOS EM RELAÇÕES INTERÉTNICAS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2237-7506";"INTERFACE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1807-5726";"INTERFACE - COMUNICAÇÃO, SAÚDE, EDUCAÇÃO (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1807-5762";"INTERFACE (BOTUCATU. ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1806-9037";"INTERFACE (NATAL)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1806-6062";"INTERFACE (PORTO NACIONAL)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1807-3980";"INTERFACE TECNOLÓGICA (SÃO PAULO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2318-2326";"INTERFACES - REVISTA DE EXTENSÃO DA UFMG";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"0092-2102";"INTERFACES (PROVIDENCE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1463-9963";"INTERFACES AND FREE BOUNDARIES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1984-5677";"INTERFACES BRASIL CANADÁ";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1519-0994";"INTERFACES BRASIL/CANADÁ (IMPRESSO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2316-3321";"INTERFACES CIENTÍFICAS - DIREITO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2316-3828";"INTERFACES CIENTÍFICAS - EDUCAÇÃO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2359-4934";"INTERFACES CIENTÍFICAS - EXATAS E TECNOLÓGICAS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2316-3313";"INTERFACES CIENTÍFICAS - SAÚDE E AMBIENTE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2177-7691";"INTERFACES DA EDUCAÇÃO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2009-3578";"INTERFERENCE: A JOURNAL OF AUDIO CULTURE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1980-5276";"INTERIN";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1982-1662";"INTER-LEGERE (UFRN)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1807-1597";"INTERLETRAS (DOURADOS)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1413-0963";"INTERMEIO (UFMS)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0966-9795";"INTERMETALLICS (BARKING)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1828-0447";"INTERN EMERG MED";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2042-6445";"INTERNACIONAL WOOD PRODUCTS JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2007-9680";"INTERNACIONES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1444-0903";"INTERNAL MEDICINE JOURNAL (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2470-3524";"INTERNAL MEDICINE REVIEW (IMR) (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1468-2346";"INTERNATIONAL AFFAIRS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0020-5850";"INTERNATIONAL AFFAIRS (LONDON. 1944. PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0236-8722";"INTERNATIONAL AGROPHYSICS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0392-9590";"INTERNATIONAL ANGIOLOGY (TESTO STAMPATO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2008-6970";"INTERNATIONAL AQUATIC RESEARCH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1018-2438";"INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1755-7682";"INTERNATIONAL ARCHIVES OF MEDICINE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0340-0131";"INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2194-9034";"INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0964-8305";"INTERNATIONAL BIODETERIORATION & BIODEGRADATION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1677-5538";"INTERNATIONAL BRAZILIAN JOURNAL OF UROLOGY (IMPRESSO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1746-4358";"INTERNATIONAL BREASTFEEDING JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2183-3265";"INTERNATIONAL BUSINESS AND ECONOMICS REVIEW";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1993-5250";"INTERNATIONAL BUSINESS MANAGEMENT";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0969-5931";"INTERNATIONAL BUSINESS REVIEW";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0268-1315";"INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0735-1933";"INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2595-0428";"INTERNATIONAL CONTEMPORARY MANAGEMENT REVIEW - ICMR";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2159-8312";"INTERNATIONAL CRITICAL THOUGHT";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0958-6946";"INTERNATIONAL DAIRY JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0020-6539";"INTERNATIONAL DENTAL JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0020-6598";"INTERNATIONAL ECONOMIC REVIEW (PHILADELPHIA)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2110-7017";"INTERNATIONAL ECONOMICS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1612-4812";"INTERNATIONAL ECONOMICS AND ECONOMIC POLICY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2454-9916";"INTERNATIONAL EDUCATION & RESEARCH JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1913-9039";"INTERNATIONAL EDUCATION STUDIES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1913-9020";"INTERNATIONAL EDUCATION STUDIES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2455-295X";"INTERNATIONAL EDUCATIONAL SCIENTIFIC RESEARCH JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2411-183X";"INTERNATIONAL E-JOURNAL OF ADVANCES IN SOCIAL SCIENCES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1755-599X";"INTERNATIONAL EMERGENCY NURSING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0143-2885";"INTERNATIONAL ENDODONTIC JOURNAL (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1554-7191";"INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1367-0271";"INTERNATIONAL FINANCE (OXFORD. PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1465-5489";"INTERNATIONAL FORESTRY REVIEW";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2042-6976";"INTERNATIONAL FORUM OF ALLERGY AND RHINOLOGY (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0020-6814";"INTERNATIONAL GEOLOGY REVIEW";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1836-6554";"INTERNATIONAL GRAMSCI JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1876-3413";"INTERNATIONAL HEALTH (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2372-4501";"INTERNATIONAL HIGHER EDUCATION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0953-8178";"INTERNATIONAL IMMUNOLOGY (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1567-5769";"INTERNATIONAL IMMUNOPHARMACOLOGY (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0305-0629";"INTERNATIONAL INTERACTIONS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2408-7246";"INTERNATIONAL INVENTION JOURNAL OF MEDICINE AND MEDICAL SCIENCES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1437-3262";"INTERNATIONAL JORNAL OF EARTH SCIENCES (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1573-0743";"INTERNATIONAL JOUNAL OF CARDIOVASCULAR IMAGING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2141-6613";"INTERNATIONAL JOURNAL O F WATER RESOURCES AND ENVIRONMENTAL ENGINEERING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0020-7020";"INTERNATIONAL JOURNAL (TORONTO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2595-2498";"INTERNATIONAL JOURNAL EDUCATION AND TEACHING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1869-6945";"INTERNATIONAL JOURNAL FOOD SYSTEM DYNAMICS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1550-2287";"INTERNATIONAL JOURNAL FOR COMPUTATIONAL METHODS IN ENGINEERING SCIENCE AND MECHANICS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2156-7964";"INTERNATIONAL JOURNAL FOR COURT ADMINISTRATION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2202-8005";"INTERNATIONAL JOURNAL FOR CRIME, JUSTICE AND SOCIAL DEMOCRACY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1556-1720";"INTERNATIONAL JOURNAL FOR DIALOGICAL SCIENCE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1475-9276";"INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2411-2933";"INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2411-3123";"INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
